tone,split
surge-patches-3rdparty-Bluelight-Leads-Crusher-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Distorted-Cello-velocity64,test
surge-patches-3rdparty-Bluelight-Leads-Harpsick-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Ice-Rain-velocity64,test
surge-patches-3rdparty-Bluelight-Leads-Lead-1-velocity64,test
surge-patches-3rdparty-Bluelight-Leads-Lead-10-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Lead-11-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Lead-2-velocity64,test
surge-patches-3rdparty-Bluelight-Leads-Lead-3-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Lead-4-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Lead-5-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Lead-6-velocity64,test
surge-patches-3rdparty-Bluelight-Leads-Lead-7-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Lead-8-velocity64,valid
surge-patches-3rdparty-Bluelight-Leads-Lead-9-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-Zappa-Digilead-velocity64,train
surge-patches-3rdparty-Bluelight-Organs-C-Jack-Dupree-velocity64,train
surge-patches-3rdparty-Bluelight-Organs-Santana-Goin-Home-73-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Another-Warm-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Bad-News-velocity64,test
surge-patches-3rdparty-Bluelight-Pads-Broken-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-China-Crisis-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Delta-Rhythm-Boys-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Fifths-1-velocity64,valid
surge-patches-3rdparty-Bluelight-Pads-Fifths-2-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Fifths-3-velocity64,valid
surge-patches-3rdparty-Bluelight-Pads-Fifths-4-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Fifths-5-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Fifths-6-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Fifths-Whiteboat-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Film-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Frogs-With-Dirty-Little-Lips-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Ghost-Glass-Harmonium-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Gods-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Hassel-Lost-His-New-Horn-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Hine-s-Vertigo-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Hit-and-Hesitate-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Innit-Blue-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Juno-velocity64,valid
surge-patches-3rdparty-Bluelight-Pads-King-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Mid-Key-Squeal-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Obie-velocity64,test
surge-patches-3rdparty-Bluelight-Pads-Orbit-and-Sub-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Out-Of-Tune-Tin-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Rainy-Day-Dreamaway-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Res-Wave-Shift-velocity64,test
surge-patches-3rdparty-Bluelight-Pads-Rhythm-Delay-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Sawdust-velocity64,test
surge-patches-3rdparty-Bluelight-Pads-Shimmer-Glimmer-Goes-Dirt-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Skum-Bolero-110-BPM-velocity64,test
surge-patches-3rdparty-Bluelight-Pads-The-Lunatic-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Whatever-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-White-Room-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Wool-1-velocity64,train
surge-patches-3rdparty-Bluelight-Pads-Wool-2-velocity64,valid
surge-patches-3rdparty-Bluelight-Percussion-Tubular-velocity64,train
surge-patches-3rdparty-Bluelight-Splits-Bilbo-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Splits-Casio-VL-Tone-110-BPM-velocity64,test
surge-patches-3rdparty-Bluelight-Splits-Dam-Dam-Dam-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Splits-Diggety-Doggety-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Splits-Nu-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Splits-Royals-Straight-Flushed-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Splits-Trevor-Horn-Is-My-Mother-110-BPM-velocity64,valid
surge-patches-3rdparty-Bluelight-Vox-Gregorian-Rant-Mono-velocity64,train
surge-patches-3rdparty-Bluelight-Vox-Gregorian-Rant-Poly-velocity64,train
surge-patches-3rdparty-Bluelight-Winds-Bamboo-velocity64,train
surge-patches-3rdparty-Bluelight-Winds-Basson-velocity64,train
surge-patches-3rdparty-Bluelight-Winds-Recorder-velocity64,train
surge-patches-3rdparty-Damon-Armani-Arps-Cinematic-Arp-velocity64,train
surge-patches-3rdparty-Damon-Armani-Arps-Cinematic-RTM-velocity64,train
surge-patches-3rdparty-Damon-Armani-Arps-Dark-Rhythmic-velocity64,train
surge-patches-3rdparty-Damon-Armani-Arps-Lush-Style-velocity64,train
surge-patches-3rdparty-Damon-Armani-Arps-Metallic-Arp-velocity64,train
surge-patches-3rdparty-Damon-Armani-Arps-Scratched-Arp-velocity64,train
surge-patches-3rdparty-Damon-Armani-Arps-Transparent-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Analog-Magic-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Another-Dubstep-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-BC-Bass-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Bam-Bo-Bass-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Bass-N4-velocity64,valid
surge-patches-3rdparty-Damon-Armani-Basses-Bulky-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Crazy-Dub-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Distinguished-velocity64,test
surge-patches-3rdparty-Damon-Armani-Basses-Disto-Bass-velocity64,test
surge-patches-3rdparty-Damon-Armani-Basses-Dubstep-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-FX-Bass-velocity64,test
surge-patches-3rdparty-Damon-Armani-Basses-Fast-Furious-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Ho-Ho-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-House-Fly-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Little-Finger-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Longest-Bass-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Massive-Dubstep-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Normal-Bass-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Satu-Bass-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Side-Bass-N1-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Unknowing-Bass-velocity64,train
surge-patches-3rdparty-Damon-Armani-Basses-Whisper-velocity64,train
surge-patches-3rdparty-Damon-Armani-Drums-FX-Glitch-velocity64,train
surge-patches-3rdparty-Damon-Armani-Drums-Hi-Hat-velocity64,train
surge-patches-3rdparty-Damon-Armani-Drums-Kick-velocity64,train
surge-patches-3rdparty-Damon-Armani-Drums-Perc-velocity64,train
surge-patches-3rdparty-Damon-Armani-Drums-Reverse-Crash-velocity64,train
surge-patches-3rdparty-Damon-Armani-Drums-Snare-velocity64,train
surge-patches-3rdparty-Damon-Armani-Drums-Tom-L-velocity64,train
surge-patches-3rdparty-Damon-Armani-Drums-Tom-R-velocity64,train
surge-patches-3rdparty-Damon-Armani-Leads-Attacky-velocity64,train
surge-patches-3rdparty-Damon-Armani-Leads-Dark-Strange-velocity64,train
surge-patches-3rdparty-Damon-Armani-Leads-Funky-velocity64,train
surge-patches-3rdparty-Damon-Armani-Leads-Golden-Chord-velocity64,train
surge-patches-3rdparty-Damon-Armani-Leads-RoboTalker-velocity64,valid
surge-patches-3rdparty-Damon-Armani-Leads-Rough-Soft-velocity64,train
surge-patches-3rdparty-Damon-Armani-Leads-Staccato-String-Land-velocity64,train
surge-patches-3rdparty-Damon-Armani-Leads-Welding-velocity64,valid
surge-patches-3rdparty-Damon-Armani-Pads-Church-Pad-velocity64,test
surge-patches-3rdparty-Damon-Armani-Pads-Freedom-Message-velocity64,test
surge-patches-3rdparty-Damon-Armani-Pads-Funky-Gate-velocity64,train
surge-patches-3rdparty-Damon-Armani-Pads-House-Of-Chords-velocity64,train
surge-patches-3rdparty-Damon-Armani-Pads-Paddington-velocity64,train
surge-patches-3rdparty-Damon-Armani-Pads-Rising-Pad-velocity64,valid
surge-patches-3rdparty-Damon-Armani-Pads-Spaceship-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Brass-N4-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Brass-Pluck-1-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Brass-Pluck-2-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Brass-Synth-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Daft-Punk-velocity64,test
surge-patches-3rdparty-Damon-Armani-Plucks-Dark-Clouds-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Disto-velocity64,test
surge-patches-3rdparty-Damon-Armani-Plucks-Drunk-Pluck-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Fun-Key-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Glassier-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Happy-Snappy-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Like-Piano-velocity64,valid
surge-patches-3rdparty-Damon-Armani-Plucks-Main-Brass-velocity64,valid
surge-patches-3rdparty-Damon-Armani-Plucks-Modern-Bell-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Rattler-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Talking-velocity64,train
surge-patches-3rdparty-Damon-Armani-Plucks-Trance-Pluck-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Basses-Lucy-Louise-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Basses-Piglet-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Basses-Throated-Bass-velocity64,train
surge-patches-3rdparty-Dan-Maurer-FX-Airplane-Fly-By-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-FX-Cricket-Song-velocity64,test
surge-patches-3rdparty-Dan-Maurer-FX-Flubber-velocity64,test
surge-patches-3rdparty-Dan-Maurer-FX-Lake-Eerie-velocity64,train
surge-patches-3rdparty-Dan-Maurer-FX-Manic-velocity64,train
surge-patches-3rdparty-Dan-Maurer-FX-Rainfall-velocity64,test
surge-patches-3rdparty-Dan-Maurer-FX-Space-Pigs-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-FX-Star-Dust-velocity64,train
surge-patches-3rdparty-Dan-Maurer-FX-Summer-Insects-velocity64,train
surge-patches-3rdparty-Dan-Maurer-FX-The-Descent-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-Bonita-Keys-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-Detuned-Vibes-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-FM-Acoustic-Piano-1-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-FM-Acoustic-Piano-2-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-FM-Piano-1-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-FM-Piano-2-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-FM-Piano-3-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-Forte-Piano-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-Glass-Harpsichord-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Keys-Piano-Vector-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Leads-By-The-Way-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Leads-Positive-Feedback-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Leads-Reluctant-Leader-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Leads-Second-Thoughts-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Leads-Sharp-Lead-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Leads-Soft-Sync-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Leads-Sync-Sweep-Lead-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Leads-Third-Release-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Dark-Friday-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Drone-Bee-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Fingers-On-Wine-Glass-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Galaxy-Pad-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Pads-Here-s-Your-Sine-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Ice-Cream-Sundae-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Jellyfish-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Lush-PWM-Strings-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Muted-Square-Pad-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Pulling-Strings-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Pads-The-Voice-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Touch-Brass-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Touch-String-Brass-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Until-Then-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Pads-Wave-Complex-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Percussion-Big-Bells-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Percussion-Morphing-Bells-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Percussion-Phased-Gong-1-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Percussion-Phased-Gong-2-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Percussion-Phased-Gong-3-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Percussion-Smooth-Bells-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Percussion-Synclav-Bells-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Bowed-Plucked-Pipe-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Plucks-Comb-Harp-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Galactic-Harp-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Hidden-Tiger-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Muther-Plucker-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Power-Chord-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Purple-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Resonated-Pluck-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Sine-Of-The-Times-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Plucks-Strum-Up-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-A-Robotic-Mind-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Alternate-Solution-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Bad-Influence-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Boidae-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Brave-New-World-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Certified-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Chime-Charm-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Dancing-Strings-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Dizzy-Busy-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Rhythms-Dropper-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Earfull-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Rhythms-FM-Waves-01-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-FM-Waves-02-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Fire-Breather-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Rhythms-Generator-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Rhythms-Hartsfield-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Jambourie-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Ka-h-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Lanes-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Moving-Day-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Mumford-s-the-Word-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-North-Atlantic-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Old-Tool-Motion-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Pick-Me-Minor-Arp-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Pick-Me-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Pipe-Dreams-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Prism-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Pulstronic-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Quinceanera-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Reanimation-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Rhythm-and-Lead-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Rice-Paper-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Shuddup-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Six-Palms-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Stepping-Out-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Rhythms-Sweet-Sixteen-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Syncing-Ship-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Tin-Men-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Tinker-Toys-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Twelve-Step-Layer-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-Two-Bit-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Rhythms-What-s-Your-Vector-Victor-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Sequences-Bass-Rhythm-1-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Sequences-Bass-Rhythm-2-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Sequences-Carolina-Reaper-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Sequences-Drum-Loop-1-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Sequences-Drum-Loop-2-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Sequences-Drum-Loop-3-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Sequences-Flying-Squares-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Sequences-Tube-Rhythm-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Splits-Catalina-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Splits-Dope-Drummer-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Splits-Walking-Away-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Big-Brass-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Cascade-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Chainsaw-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Synths-Chime-Charm-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Synths-Comb-String-Section-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Feedback-Cycle-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Freeform-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Grey-And-Black-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Lyrica-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Metal-Head-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Synths-Overdriven-Cello-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Synths-Saskatoon-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Synths-Saturation-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Scrooge-McDuck-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Splash-Mouth-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Synths-Square-Wave-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-String-Quartet-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Virtual-Sync-Sweep-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Warm-Reception-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Synths-Wudang-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Amped-Harmonica-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Andes-Pipes-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Clarinet-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Double-Reed-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Flute-1-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Flute-2-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Winds-Huangshan-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Winds-Junkyard-Dog-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Winds-Oboe-Wan-Can-No-Be-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Oscar-The-Grouch-velocity64,test
surge-patches-3rdparty-Dan-Maurer-Winds-Physical-Therapy-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Pipe-Attack-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Reed-To-Pipe-Morph-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Scratchy-Throat-velocity64,valid
surge-patches-3rdparty-Dan-Maurer-Winds-Simple-Pipe-velocity64,train
surge-patches-3rdparty-Dan-Maurer-Winds-Tenor-Sax-velocity64,train
surge-patches-3rdparty-Emu-Basses-Acidy-FM-Boy-velocity64,train
surge-patches-3rdparty-Emu-Basses-Barfy-Beauty-velocity64,train
surge-patches-3rdparty-Emu-Basses-Beefy-Boi-velocity64,train
surge-patches-3rdparty-Emu-Basses-Soft-Plucks-velocity64,train
surge-patches-3rdparty-Emu-Drums-Egg-Shaker-velocity64,valid
